zone_id,delivery_timestamp,delivery_count,vehicle_type,distance_km,hour
ZONE_A,2026-01-01 00:00:00,13,truck,11.64,0
ZONE_A,2026-01-01 01:00:00,10,truck,7.94,1
ZONE_A,2026-01-01 02:00:00,13,van,6.55,2
ZONE_A,2026-01-01 03:00:00,13,truck,10.28,3
ZONE_A,2026-01-01 04:00:00,17,van,14.74,4
ZONE_A,2026-01-01 05:00:00,14,van,8.0,5
ZONE_A,2026-01-01 06:00:00,14,motorcycle,1.38,6
ZONE_A,2026-01-01 07:00:00,12,van,9.92,7
ZONE_A,2026-01-01 08:00:00,13,truck,5.94,8
ZONE_A,2026-01-01 09:00:00,47,van,8.49,9
ZONE_A,2026-01-01 10:00:00,44,van,1.18,10
ZONE_A,2026-01-01 11:00:00,43,truck,8.28,11
ZONE_A,2026-01-01 12:00:00,57,truck,8.21,12
ZONE_A,2026-01-01 13:00:00,61,van,8.58,13
ZONE_A,2026-01-01 14:00:00,35,truck,3.91,14
ZONE_A,2026-01-01 15:00:00,37,motorcycle,1.79,15
ZONE_A,2026-01-01 16:00:00,37,motorcycle,10.12,16
ZONE_A,2026-01-01 17:00:00,33,van,14.22,17
ZONE_A,2026-01-01 18:00:00,41,truck,1.95,18
ZONE_A,2026-01-01 19:00:00,15,motorcycle,11.61,19
ZONE_A,2026-01-01 20:00:00,14,motorcycle,3.61,20
ZONE_A,2026-01-01 21:00:00,14,truck,14.38,21
ZONE_A,2026-01-01 22:00:00,14,truck,14.13,22
ZONE_A,2026-01-01 23:00:00,12,truck,2.26,23
ZONE_A,2026-01-02 00:00:00,11,motorcycle,11.14,0
ZONE_A,2026-01-02 01:00:00,9,van,7.59,1
ZONE_A,2026-01-02 02:00:00,9,van,10.15,2
ZONE_A,2026-01-02 03:00:00,12,motorcycle,11.42,3
ZONE_A,2026-01-02 04:00:00,9,van,3.52,4
ZONE_A,2026-01-02 05:00:00,9,truck,7.95,5
ZONE_A,2026-01-02 06:00:00,9,truck,4.99,6
ZONE_A,2026-01-02 07:00:00,9,van,12.05,7
ZONE_A,2026-01-02 08:00:00,13,motorcycle,12.02,8
ZONE_A,2026-01-02 09:00:00,27,motorcycle,8.77,9
ZONE_A,2026-01-02 10:00:00,29,truck,2.95,10
ZONE_A,2026-01-02 11:00:00,37,motorcycle,14.87,11
ZONE_A,2026-01-02 12:00:00,47,motorcycle,3.77,12
ZONE_A,2026-01-02 13:00:00,51,truck,9.39,13
ZONE_A,2026-01-02 14:00:00,34,truck,9.43,14
ZONE_A,2026-01-02 15:00:00,38,van,11.64,15
ZONE_A,2026-01-02 16:00:00,30,motorcycle,14.15,16
ZONE_A,2026-01-02 17:00:00,26,motorcycle,4.59,17
ZONE_A,2026-01-02 18:00:00,41,motorcycle,6.1,18
ZONE_A,2026-01-02 19:00:00,10,van,7.01,19
ZONE_A,2026-01-02 20:00:00,7,truck,2.81,20
ZONE_A,2026-01-02 21:00:00,9,van,14.9,21
ZONE_A,2026-01-02 22:00:00,10,van,1.68,22
ZONE_A,2026-01-02 23:00:00,7,truck,9.58,23
ZONE_A,2026-01-03 00:00:00,8,van,4.97,0
ZONE_A,2026-01-03 01:00:00,7,motorcycle,2.33,1
ZONE_A,2026-01-03 02:00:00,6,van,12.09,2
ZONE_A,2026-01-03 03:00:00,7,truck,14.13,3
ZONE_A,2026-01-03 04:00:00,7,van,13.61,4
ZONE_A,2026-01-03 05:00:00,7,van,14.08,5
ZONE_A,2026-01-03 06:00:00,7,truck,3.18,6
ZONE_A,2026-01-03 07:00:00,6,motorcycle,4.65,7
ZONE_A,2026-01-03 08:00:00,6,truck,9.35,8
ZONE_A,2026-01-03 09:00:00,18,truck,11.05,9
ZONE_A,2026-01-03 10:00:00,27,van,14.48,10
ZONE_A,2026-01-03 11:00:00,17,motorcycle,13.18,11
ZONE_A,2026-01-03 12:00:00,33,truck,13.95,12
ZONE_A,2026-01-03 13:00:00,25,motorcycle,10.56,13
ZONE_A,2026-01-03 14:00:00,24,van,8.85,14
ZONE_A,2026-01-03 15:00:00,20,motorcycle,5.32,15
ZONE_A,2026-01-03 16:00:00,21,van,6.75,16
ZONE_A,2026-01-03 17:00:00,18,van,14.71,17
ZONE_A,2026-01-03 18:00:00,41,motorcycle,8.35,18
ZONE_A,2026-01-03 19:00:00,9,motorcycle,13.48,19
ZONE_A,2026-01-03 20:00:00,6,motorcycle,11.38,20
ZONE_A,2026-01-03 21:00:00,7,van,8.67,21
ZONE_A,2026-01-03 22:00:00,5,van,13.36,22
ZONE_A,2026-01-03 23:00:00,8,truck,10.67,23
ZONE_A,2026-01-04 00:00:00,5,van,11.04,0
ZONE_A,2026-01-04 01:00:00,6,truck,2.41,1
ZONE_A,2026-01-04 02:00:00,5,truck,13.95,2
ZONE_A,2026-01-04 03:00:00,4,motorcycle,13.38,3
ZONE_A,2026-01-04 04:00:00,8,van,11.64,4
ZONE_A,2026-01-04 05:00:00,5,motorcycle,14.18,5
ZONE_A,2026-01-04 06:00:00,7,motorcycle,13.63,6
ZONE_A,2026-01-04 07:00:00,7,motorcycle,12.63,7
ZONE_A,2026-01-04 08:00:00,5,motorcycle,4.8,8
ZONE_A,2026-01-04 09:00:00,19,van,14.52,9
ZONE_A,2026-01-04 10:00:00,23,van,4.4,10
ZONE_A,2026-01-04 11:00:00,27,motorcycle,2.08,11
ZONE_A,2026-01-04 12:00:00,31,van,1.84,12
ZONE_A,2026-01-04 13:00:00,24,motorcycle,9.83,13
ZONE_A,2026-01-04 14:00:00,18,truck,2.9,14
ZONE_A,2026-01-04 15:00:00,22,truck,14.15,15
ZONE_A,2026-01-04 16:00:00,17,truck,14.2,16
ZONE_A,2026-01-04 17:00:00,24,van,4.75,17
ZONE_A,2026-01-04 18:00:00,30,motorcycle,10.47,18
ZONE_A,2026-01-04 19:00:00,11,van,2.25,19
ZONE_A,2026-01-04 20:00:00,5,van,4.34,20
